Job_title; Salary; Company 
Software Engineer;Competitive;AutoRek
Software Engineer;£35000 - £45000 per annum;KO2 Embedded Recruitment Solutions LTD
Software Engineer £50k + unlimited holidays;£40k - 50k per year;ECOM Manchester
Software Engineer, £80k + 10% Bonus;£60k - 80k per year + benefits;ECOM Manchester
Software Engineer, £70k;£60k - 70k per year;ECOM Manchester
Software Engineer;From £45,000 to £90,000 per annum;Stealth It Recruitment Ltd
Software Engineer;Unspecified;COMPUTACENTER (UK) LIMITED
Software Engineer Cyber Security Knutsford;£70k - 100k per year;ECOM Manchester
Design & Software Engineer;£40000.00 - £50000.00 per annum;Vantage Consulting (Midlands) Ltd
Software Engineer;Competitive Salary + Benefits;BBC
Software Engineer;£50k - 70k per year;ECOM Manchester
Software Engineer;Competitive Salary + Benefits;BBC
Quantum Software Engineer;£31931 - £44166 per annum;Science and Technology Facilities Council (STFC)
Software Engineer - Cloud Engineering;Competitive Salary + Benefits;BBC
Software Engineer;10% Annual Bonus;Applause IT Limited
Software Engineer;Competitive Salary + Benefits;BBC
Software Engineer;£70k - 80k per year + 15% bonus;ECOM Manchester
IT Developer;Up to £50,000 per annum;Fairmont Recruitment Limited
Software Developer;£40,000 per annum Co pension, 20 days hol+Bank holidays and Christmas;Tina Lacey Recruitment Ltd
Software Engineer - Machine Learning Libraries;Competitive;ARM
Software Developer;£50000 - £60000 per annum;ITECCO Limited
Software Developer;£35000 - £50000 per annum;ITECCO Limited
Software Developer;£35000 - £50000 per annum;ITECCO Limited
Software Developer;£45000 - £50000 per annum;Intelligent Resource Limited
Tool / Applications Engineer;£26000 - £30000 per annum;Reed Engineering
IT Developer;Up to £60,000 per annum;Flooder Ltd
Software Developer;Competitive Salary;LabLogic Systems Ltd
Software Development Engineer;Competitive;Amazon
Snr Software Development Engineer;Competitive;Amazon
Software Developer - Remote;Competitive;Version 1
IT Software Developer - Up to £70,000 - Global Law Firm - Manchester;Up to £70,000 per annum;Career Legal Ltd
Software Engineer;Unspecified;Atmos International
Software Engineer;Competitive;ARM
Software Developer;£45,000;Shortlist Recruitment
Software Engineer;£35000.00 to £75000.00 per year;Cinch
Software Engineer;£550 - £650 per day;Reed Professional Services
Application Developer;Unspecified;Fujitsu
Software Developer - Classic ASP;£40k - 50k per year;Farr Associates Recruitment Ltd
Application Developer;£50,000;Shortlist Recruitment
Software TestStand Engineer - Defence;Unspecified;AKKA Development UK Limited
Full-Stack Developer;£40000 - £60000 per annum + Plus Benefits;Michael Page Technology
Principle Java Developer;Circa £80K + Bonus + Company Equity!!!!!;Adria Solutions
Full-Stack Developer;£40000 - £50000 per annum + Plus Benefits;Michael Page Technology
Lead Software Developer, Mobile Developer, PWA, Blazor;TO £45,000 + Benefits;Corriculo Ltd
Senior Developer (PHP, NodeJS, AWS);£70000 - £80000 per annum + Remote work, Flexible working;Oscar Associates (UK) Limited
Software Engineer (Ruby, Rails) Remote;£60000 - £65000 per annum + Remote work, Flexible working;Oscar Associates (UK) Limited
Automation Tester;£45000 - £50000 per annum;Applause IT Limited
Software Developer;£32000 - £35000 per annum, Benefits Excellent benefits;Erin Associates
Build Assurance Engineer - Fibre;£40000 - £42000 per annum + pension, hybrid, additional benefits;NMS Recruit
Junior - Senior Level PHP Developers (PHP, JavaScript);£30000 - £45000 per annum + Remote work, Flexible working;Oscar Associates (UK) Limited
Junior Web Developer / Designer;£22k - 25k per year;Ask Recruiting Limited
Linux / Windows Hosting Engineer;£25k - 30k per year;Job Heron
DevOps Engineer;+ bonus, benefits package inc. car allowance;Stealth It Recruitment Ltd
Power Apps Developer;Up to £70,000 per annum;Fairmont Recruitment Limited
Full Stack Developer;Unspecified;Michael Page Technology
Integration Developer;Up to £50,000 per annum;Fairmont Recruitment Limited
.Net Developer – C# .Net / .Net Core / SQL Server / OOP;From £30,000 to £55,000 per annum + excellent benefits;Tech 4
Application Engineer;Unspecified;Nexperia
DevOps Engineer UK’s Smart metering solution!;Up to £55,837 per annum 15% bonus, 10% car allowance plus benefits;Ntrinsic Consulting Europe Limited
Angular Developer - TECH FOR GOOD;£45000 - £75000 per annum;Chroma Recruitment Ltd
Automation Test Analyst;Circa £50,000;Adria Solutions
Clinical Applications Specialist;£50000 - £55000.00 per annum + Hybrid car, health, pension;BMS Sales Performance
Software Developer;£20000 - £45000 per annum;Redline Group Ltd
PHP Developer;Up to £50000 per annum;Searchability (UK) Ltd
Java React Full Stack Developer , Manchester (Hybrid or Remote);From £50,000 to £65,000 per annum Excellent Benefits including Bonus +;Personas Consulting Ltd
Senior Front End Developer (remote working);£70k - 75k per year + benefits;ECOM Manchester
App Developer;Flexitime + Progression;Ernest Gordon Recruitment
Functional Consultant (Dynamics CRM / CE) (Work from Home);£55000.00 - £68000.00 per annum;Experis
PHP Developer / Wordpress - Remote worker;£30000 - £35000 per annum + benefits;Circle Group Ltd
Mid & Senior Software Engineers - Partner Engineering;Competitive Salary + Benefits;BBC
Junior Python Software Developer;£30000.00 - £40000.00 per annum + Great Benefits Package;Rise Technical Recruitment Limited
Application Engineer COR4570;£35k - 40k per year + Well-being Scheme;Corriculo Ltd
React Native Contract Developer - Remote;£500 - £550 per annum;GBV Ltd
UI Designer;£25000 - £35000 per annum;Oscar Associates (UK) Limited
Data and Insight Developer;£45000 - £60000 per annum;Travel Counsellors
ServiceNow Engineer;£350 - £400 per day;Reed Technology
Front End Developer;Up to £65,000 per annum;Pardoe Wray
C# .Net Software Engineer;Up to £45,000 per annum plus excellent benefits package;First Central Insurance & Technology Group
Senior Front End Developer;£55000 - £70000 per annum;Senitor Associates Limited
Mobile Engineer - Pumps - Equipment Rental;From £33,000 to £36,000 per annum Overtime, Company Van, Excellent Ben;K H Consulting (Yorkshire) Ltd
Mobile Engineer - Generators - Equipment Rental;From £33,000 to £36,000 per annum Overtime, Company Van, Excellent Ben;K H Consulting (Yorkshire) Ltd
Embedded Software Engineer;From £35,000 to £50,000 per annum Excellent package including progress;Pulse Engineering Solutions Ltd
Embedded Software Engineer;From £35,000 to £50,000 per annum Excellent package including progress;Pulse Engineering Solutions Ltd
Shopify Developer;£25000.00 - £30000.00 per annum;Vantage Consulting (Midlands) Ltd
PHP/Laravel Developer;£35000 - £55000 per annum;ITECCO Limited
PHP/Laravel Developer;£35000 - £55000 per annum;ITECCO Limited
DevOps Engineer KnownOrigin;Competitive + Benefits;eBay
Engineer - Java - Customer & Data;Competitive plus benefits;Sainsbury's
DevOps Engineer, £475 - £525 inside IR35, 6 Months;£475 - £525 per day + Rolling Contract;IO Associates
Junior Developer in Test KnownOrigin;Competitive + Benefits;eBay
SQL Developer;£510 - £560 per day;Reed Technology
QA Automation Test Engineer;£35000 - £50000 per annum;Chroma Recruitment Ltd
Applications Engineer (Mechanical);£30000 - £35000 per annum;Reed Engineering
QA Release Officer/Pharmacy Technician, Pharmaceutical;£25000 - £30000 per annum;Russell Taylor Group Ltd
Java Developer - AWS - Inside IR35 - 1 day Manchester;£500 - 510 per day;The Bridge (IT Recruitment) Limited
DevOps Engineer;£60000 - £75000 per annum;Talent Hub
Embedded Software Engineer;£45 - £50 per hour;KO2 Embedded Recruitment Solutions LTD
Full Stack Developer - Huddersfield/Remote - Up to £55k;£30000 - £55000 per annum + Flexible hours, Remote work, Pension;Oscar Associates (UK) Limited
PHP Developer - Liverpool - Junior / Mid Level;£25000 - £35000 per annum;Senitor Associates Limited
QA Automation Test Engineer Java;500-550pd;Interact Consulting Limited
AWS Cloud Engineer;From £75,000 to £85,000 per annum Plus good benefits;Essential Recruitment
Senior PHP Developer - Manchester / Hybrid;£45000 - £55000 per annum;Senitor Associates Limited
Software Test Analyst;Competitive salary and excellent benefits;Erin Associates
Mobile App Tester;From £35,000 to £45,000 per annum Competitive Base Salary, Group Pensi;Mindtree Limited
PHP Developer;£35000 - £60000 per annum;Senitor Associates Limited
Junior AWS Engineer;£45,000;Shortlist Recruitment
Junior Software Developer;£28000 - £32000 per annum;ITECCO Limited
Junior C++ Developer;£26k-£28K base + benefits;GMA Consulting
Junior C# Automation Developer;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global
.NET Developer - Fastest-Growing Internet Co Ever - Manchester;£50000 - £70000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, C# - Mobile Telecommunications - Manchester;£60000 - £80000 per annum + Bonus + Pension + Benefits;Noir
Graduate Software Engineer Java;£21000 - £32000 per annum + Benefits;Ascent People Ltd
Principal Mobile Software Engineer;Competitive Salary + Benefits;BBC
Senior Frontend Engineer (Web3/NFTs);£60k - 70k per year + benefits;ECOM Manchester
Senior Embedded Software Engineer;£60000 - £90000 per annum;Sanderson Recruitment
Web Developer;Unspecified;Mativ
Senior Front End Developer Angular;£50000 - £70000 per annum;Michael Page Technology
Senior Front End Developer (Angular, .NET and C#);Unspecified;Michael Page Technology
Senior Front End Developer(React);Unspecified;Michael Page Technology
.Net Developer Work from Home UK Wide;£45K - £50K Basic + Benefits Package + Home office setup budget;Hireful Agency
Software Test Engineer;£30 - £35 per hour;Manpower
.NET Developer;Up to £450 per day Outside IR35;Essential Recruitment
.NET Developer;From £50,000 to £55,000 per annum Plus benefits;Essential Recruitment
Junior / Graduate Java Software Developer;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global
Junior Java Automation Developer;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global
Junior / Graduate C# Software Developer;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global
SQL Developer;£475 - 500 per day;IQ Talent Solutions
SQL Developer - Software House, Fast-Track to Lead DBA;Up to £40,000 per annum Bonus, Pension;Nixor Resource Ltd
Full Stack Developer (React) - Leeds;Unspecified;William Hill
Full Stack Developer (NodeJs) - Leeds;Unspecified;William Hill
Full Stack Developer (Javascript) - Leeds;Unspecified;William Hill
Full Stack Developer - Leeds;Unspecified;William Hill
Platform / DevOps Engineer x6;£45000 - £110000 per annum;Deerfoot I.T. Resources Limited
Machine Learning & AI Engineer;Competitive;Airship Interactive Ltd
Java Developer;£80000 - £100000 per annum, Benefits Options.8% pension.Life assurance;Exposed Solutions
C# .net Developer;£60000 - £100000 per annum, Benefits Options.8% pension.Life assurance;Exposed Solutions
.NET Developer - Knutsford;£50000 - £85000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7, C#, Agile - Warrington;£30000 - £50000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Europe's Largest Radio Station Group - Bolton;£45000 - £55000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7, C# - Global Record Label - Salford;£45000 - £70000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, C# - Global Technology Brand - Warrington;£50000 - £85000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7 - Social Networking Site - Preston;£35000 - £65000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Software House - Knowsley;£45000 - £55000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Bolton;£50000 - £60000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7 - Social Networking Site - Chorley;£30000 - £50000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7, C# - Global Record Label - Bradford;£45000 - £70000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Global Sports Company - Stockport;£30000 - £45000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Preston;£30000 - £55000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7, C#, Agile - Wilmslow;£45000 - £60000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Fastest Growing Social Media Firm - Todmorden;£35000 - £50000 per annum + Bonus + Pension + Benefits;Noir
